İlan No,İlan Tarihi,Marka,Seri,Model,Yıl,Kilometre,Vites Tipi,Yakıt Tipi,Kasa Tipi,Motor Hacmi,Motor Gücü,Çekiş,Ort. Yakıt Tüketimi,Yakıt Deposu,Boya-değişen,Takasa Uygun,Kimden,TL
20862633,27 Ağustos 2022,Fiat,Egea,1.4 Fire Street,2021,27.000 km,Düz,Benzin,Hatchback/5,1368 cc,95 hp,Önden Çekiş,"6,6 lt",50 lt,Tamamı orjinal,Takasa Uygun,Galeriden,362000
20862380,27 Ağustos 2022,Renault,Clio,1.0 TCe Touch,2021,21.000 km,Otomatik,Benzin,Hatchback/5,999 cc,100 hp,Önden Çekiş,5 lt,42 lt,Belirtilmemiş,Takasa Uygun,Galeriden,489500
20862220,27 Ağustos 2022,Renault,Fluence,1.5 dCi Icon,2015,121.000 km,Yarı Otomatik,Dizel,Sedan,1461 cc,110 hp,Önden Çekiş,"4,4 lt",60 lt,Tamamı orjinal,Takasa Uygun,Galeriden,422000
20861832,27 Ağustos 2022,Skoda,SuperB,1.6 TDI Active,2017,154.000 km,Yarı Otomatik,Dizel,Hatchback/5,1598 cc,120 hp,Önden Çekiş,"4,1 lt",66 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,650000
20861631,27 Ağustos 2022,Honda,Accord,2.0 Executive,2011,132.500 km,Otomatik,Benzin,Sedan,1998 cc,156 hp,Önden Çekiş,"7,3 lt",65 lt,4 boyalı,Takasa Uygun Değil,Sahibinden,445000
20861617,27 Ağustos 2022,BMW,5 Serisi,520i M Sport,2014,155.000 km,Otomatik,Benzin,Sedan,1592 cc,170 hp,Arkadan İtiş,"6,7 lt",70 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,1100000
20861027,27 Ağustos 2022,Ford,Focus,1.5 TDCi Trend X,2017,144.500 km,Yarı Otomatik,Dizel,Station wagon,1499 cc,120 hp,Önden Çekiş,"4,2 lt",53 lt,Belirtilmemiş,Takasa Uygun Değil,Galeriden,470000
18926909,26 Ağustos 2022,Volkswagen,Golf,1.0 TSi Highline,2018,48.500 km,Yarı Otomatik,Benzin,Hatchback/5,999 cc,110 hp,Önden Çekiş,5 lt,50 lt,2 değişen,Takasa Uygun,Galeriden,680000
20856908,26 Ağustos 2022,Skoda,Octavia,1.6 TDI Optimal,2018,120.000 km,Yarı Otomatik,Dizel,Hatchback/5,1598 cc,115 hp,Önden Çekiş,"3,9 lt",50 lt,Belirtilmemiş,Takasa Uygun,Galeriden,539000
20856890,26 Ağustos 2022,Volkswagen,Golf,1.6 TDi BlueMotion Comfortline,2016,156.000 km,Yarı Otomatik,Dizel,Hatchback/5,1598 cc,110 hp,Önden Çekiş,"3,9 lt",50 lt,Tamamı orjinal,Takasa Uygun,Galeriden,515000
20765565,26 Ağustos 2022,Dacia,Lodgy,1.5 dCi Laureate,2013,146.000 km,Düz,Dizel,MPV,1461 cc,90 hp,Önden Çekiş,"4,2 lt",50 lt,Belirtilmemiş,Takasa Uygun,Galeriden,299950
20855634,26 Ağustos 2022,Opel,Astra,1.6 CDTI Design,2017,94.000 km,Otomatik,Dizel,Sedan,1598 cc,136 hp,Önden Çekiş,"5,1 lt",56 lt,Belirtilmemiş,Takasa Uygun,Galeriden,449950
20853141,25 Ağustos 2022,Honda,City,1.4 Elite,2008,77.000 km,Otomatik,Benzin,Sedan,1339 cc,83 hp,Önden Çekiş,"5,7 lt",42 lt,Belirtilmemiş,Takasa Uygun Değil,Galeriden,258500
20853092,25 Ağustos 2022,Opel,Corsa,1.4 Enjoy,2003,180.000 km,Otomatik,Benzin,Hatchback/5,1389 cc,90 hp,Önden Çekiş,"7,9 lt",44 lt,Belirtilmemiş,Takasa Uygun Değil,Galeriden,193500
20847697,25 Ağustos 2022,Nissan,Micra,1.2 Punch,2012,115.000 km,Otomatik,Benzin,Hatchback/5,1198 cc,80 hp,Önden Çekiş,"5,4 lt",41 lt,Belirtilmemiş,Takasa Uygun,Galeriden,315000
20819278,25 Ağustos 2022,Fiat,Egea,1.3 Multijet Easy,2017,162.000 km,Düz,Dizel,Sedan,1248 cc,95 hp,Önden Çekiş,"4,1 lt",45 lt,7 boyalı,Takasa Uygun,Galeriden,292500
20819239,25 Ağustos 2022,Citroen,C1,1.0 SX Sensodrive,2011,120.000 km,Yarı Otomatik,Benzin,Hatchback/5,998 cc,69 hp,Önden Çekiş,"4,6 lt",35 lt,3 boyalı,Takasa Uygun,Galeriden,237500
20847323,25 Ağustos 2022,Opel,Corsa,1.2 Enjoy,2004,155.000 km,Yarı Otomatik,Benzin,Hatchback/5,1229 cc,80 hp,Önden Çekiş,6 lt,44 lt,Belirtilmemiş,Takasa Uygun,Galeriden,215000
20844329,24 Ağustos 2022,Honda,Civic,1.6 i-VTEC ECO Elegance,2020,13.500 km,Otomatik,LPG & Benzin,Sedan,1597 cc,125 hp,Önden Çekiş,"6,3 lt",46 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,685000
20842960,24 Ağustos 2022,Volvo,S90,2.0 D5 Inscription,2018,145.500 km,Otomatik,Dizel,Sedan,1969 cc,235 hp,4WD (Sürekli),"4,8 lt",60 lt,Tamamı orjinal,Takasa Uygun,Galeriden,1950000
20841723,24 Ağustos 2022,Volkswagen,Passat,1.6 TDi BlueMotion Trendline,2015,151.000 km,Yarı Otomatik,Dizel,Sedan,1598 cc,120 hp,Önden Çekiş,4 lt,66 lt,"2 değişen, 9 boyalı",Takasa Uygun,Galeriden,532500
